technique,step,train_loss,val_loss
Circular + Shuffle,9450,1.403570,1.621528
Circular + Shuffle,9600,1.385789,1.599573
Circular + Shuffle,9750,1.405186,1.603423
Circular + Shuffle,9900,1.364945,1.604481
Circular + Shuffle,10050,1.392134,1.585188
Circular + Shuffle,10200,1.380896,1.618220
Circular + Shuffle,10350,1.374546,1.637735
Circular + Shuffle,10500,1.379639,1.607207
Circular + Shuffle,10650,1.367166,1.600847
Circular + Shuffle,10800,1.384207,1.587474
Circular + Shuffle,10950,1.389116,1.619693
Circular + Shuffle,11100,1.351409,1.582854
Circular + Shuffle,11250,1.367899,1.598569
Circular + Shuffle,11400,1.364965,1.595998
Circular + Shuffle,11550,1.371694,1.595894
Circular + Shuffle,11700,1.351607,1.589914
Circular + Shuffle,11850,1.369951,1.566024
Circular + Shuffle,12000,1.359912,1.571196
Circular + Shuffle,12150,1.362250,1.612995
Circular + Shuffle,12300,1.365855,1.601512
Circular + Shuffle,12450,1.361444,1.593684
Circular + Shuffle,12600,1.359413,1.567113
Circular + Shuffle,12750,1.355556,1.591904
Circular + Shuffle,12900,1.346632,1.599355
Circular + Shuffle,13050,1.349182,1.581746
Circular + Shuffle,13200,1.336533,1.560492
Circular + Shuffle,13350,1.351860,1.551879
Circular + Shuffle,13500,1.355825,1.589297
Circular + Shuffle,13650,1.353218,1.553780
Circular + Shuffle,13800,1.339548,1.589459
Circular + Shuffle,13950,1.347826,1.571072
Circular + Shuffle,14100,1.339486,1.571885
Circular + Shuffle,14250,1.338143,1.593268
Circular + Shuffle,14400,1.343759,1.584249
Circular + Shuffle,14550,1.343580,1.577764
Circular + Shuffle,14700,1.345259,1.594734
Circular + Shuffle,14850,1.344762,1.570598
Circular + Shuffle,14999,1.335990,1.570316
